site_code,Longitude,Latitude,year,cc_250m
C108-S1,-78.00381213,36.20097645,cc_250m_2020,61
C108-S2,-78.04578091,36.18453409,cc_250m_2020,59
C108-S3,-77.97874698,36.20389477,cc_250m_2020,52
C108-S4,-77.98236234,36.19726452,cc_250m_2020,54
C108-S6,-78.06235864,36.23149009,cc_250m_2020,51
C108-S7,-78.04578091,36.18453409,cc_250m_2020,59
C10-S1,-78.98866145,35.54352486,cc_250m_2020,54
C10-S2,-78.99189108,35.55288292,cc_250m_2020,51
C10-S3,-78.98733049,35.54013798,cc_250m_2020,47
C12-S2,-78.50178628,35.82474827,cc_250m_2020,9
C12-S3,-78.41303366,35.81712526,cc_250m_2020,32
C12-S4,-78.41134907,35.8177529,cc_250m_2020,47
C12-S5,-78.4322444,35.7615219,cc_250m_2020,41
C12-S6,-78.42391,35.73882,cc_250m_2020,48
C13-S1,-78.90894796,34.514936,cc_250m_2020,52
C13-S2,-78.87915088,34.48014675,cc_250m_2020,50
C13-S3,-78.8796517,34.48092828,cc_250m_2020,50
C13-S4,-79.000136,34.3934,cc_250m_2020,40
C14-S1,-76.48970875,36.19902422,cc_250m_2020,5
C14-S2,-76.55103746,36.25843816,cc_250m_2020,20
C14-S3,-76.44094401,36.19911633,cc_250m_2020,17
C18-S1,-77.08723526,35.56746642,cc_250m_2020,33
C18-S2,-77.03584389,35.53384041,cc_250m_2020,42
C18-S3,-77.03855921,35.51785712,cc_250m_2020,27
C18-S4,-77.09190315,35.45004551,cc_250m_2020,53
C19-S1,-77.81732719,34.21633372,cc_250m_2020,25
C19-S2,-77.96103618,34.2559471,cc_250m_2020,34
C19-S3,-77.99355394,34.30097208,cc_250m_2020,11
C19-S4,-77.94518868,34.20880149,cc_250m_2020,14
C19-S5,-78.06238,34.13972,cc_250m_2020,47
C19-S6,-78.06538,34.15923,cc_250m_2020,49
C1-S1,-79.06100549,36.46989799,cc_250m_2020,45
C1-S2,-79.05947537,36.46020172,cc_250m_2020,50
C1-S3,-79.06121881,36.46366932,cc_250m_2020,48
C1-S4,-79.06154294,36.46038646,cc_250m_2020,50
C1-S5,-79.05746975,36.45351606,cc_250m_2020,42
C200-S1,-79.95218108,35.71283578,cc_250m_2020,57
C200-S2,-79.95059213,35.71500854,cc_250m_2020,60
C200-S3,-79.76456224,35.62668365,cc_250m_2020,52
C200-S4,-79.75524223,35.62597395,cc_250m_2020,45
C200-S5,-79.83569576,35.7154532,cc_250m_2020,44
C201-S1,-76.697845,36.432268,cc_250m_2020,48
C201-S2,-76.692643,36.437062,cc_250m_2020,54
C202-S1,-81.8486964,36.1937618,cc_250m_2020,51
C202-S2,-81.870577,36.142199,cc_250m_2020,39
C203-S1,-80.485603,35.838485,cc_250m_2020,47
C203-S2,-80.44841,35.83875,cc_250m_2020,50
C204-S1,-78.976964,35.573754,cc_250m_2020,43
C204-S2,-78.98015,35.576124,cc_250m_2020,53
C205-S1,-81.738823,36.135661,cc_250m_2020,66
C205-S2,-81.811973,36.163409,cc_250m_2020,77
C206-S1,-81.33562,36.45597,cc_250m_2020,66
C206-S2,-81.465992,36.392943,cc_250m_2020,75
C207-S1,-76.89657,35.46465,cc_250m_2020,60
C207-S2,-76.91015,35.47084,cc_250m_2020,59
C208-S1,-82.53721,35.24017,cc_250m_2020,70
C208-S2,-82.52929,35.24444,cc_250m_2020,30
C209-S1,-79.09277,35.69675,cc_250m_2020,60
C209-S2,-79.09505,35.71507,cc_250m_2020,52
C20-S1,-79.85221583,35.36388609,cc_250m_2020,54
C20-S2,-79.78760317,35.36019788,cc_250m_2020,35
C20-S3,-79.90247388,35.2898971,cc_250m_2020,45
C20-S4,-79.81928,35.28214,cc_250m_2020,54
C21-S1,-80.91127398,35.68276243,cc_250m_2020,52
C21-S2,-80.92546094,35.65620228,cc_250m_2020,50
C21-S3,-80.92528,35.66556,cc_250m_2020,57
C22-S1,-76.98514813,35.11597462,cc_250m_2020,54
C22-S2,-76.97235625,35.12296479,cc_250m_2020,57
C22-S3,-77.06009852,35.04910749,cc_250m_2020,44
C22-S4,-77.04637173,35.02746139,cc_250m_2020,49
C22-S5,-76.985954,35.123366,cc_250m_2020,54
C22-S6,-77.048441,35.029778,cc_250m_2020,53
C22-S7,-77.04975,34.96971,cc_250m_2020,60
C22-S8,-76.99017,35.10834,cc_250m_2020,65
C24-S1,-80.26836173,36.39245817,cc_250m_2020,66
C24-S2,-80.30368818,36.40004229,cc_250m_2020,56
C24-S3,-80.43970828,36.15820259,cc_250m_2020,48
C24-S4,-80.32960041,36.41941052,cc_250m_2020,52
C24-S5,-80.33262276,36.42220228,cc_250m_2020,49
C24-S6,-80.248998,36.429226,cc_250m_2020,52
C24-S7,-80.265446,36.413975,cc_250m_2020,57
C29-S1,-77.14768723,36.0974788,cc_250m_2020,54
C29-S2,-77.14507853,36.10186757,cc_250m_2020,52
C2-S1,-79.29604302,35.17778982,cc_250m_2020,42
C2-S2,-79.25216158,35.19580462,cc_250m_2020,49
C2-S3,-79.24722833,35.14814897,cc_250m_2020,48
C34-S1,-80.72238109,35.26616466,cc_250m_2020,51
C34-S2,-80.70774428,35.25567739,cc_250m_2020,50
C37-S1,-79.62646821,35.01620038,cc_250m_2020,30
C37-S2,-79.62596362,35.00916336,cc_250m_2020,51
C37-S3,-79.62099197,34.99461715,cc_250m_2020,41
C37-S4,-79.61918819,34.98728793,cc_250m_2020,13
C39-S1,-82.09770078,35.74783215,cc_250m_2020,71
C39-S2,-82.05662509,35.77713596,cc_250m_2020,73
C39-S3,-82.06291135,35.74533711,cc_250m_2020,48
C39-S4,-82.1646224,35.73514061,cc_250m_2020,73
C400-S1,-76.77136,36.35939,cc_250m_2020,NA
C400-S2,-76.84986,36.39992,cc_250m_2020,52
C40-S1,-77.36667526,36.22271491,cc_250m_2020,52
C40-S2,-77.29535951,36.21849245,cc_250m_2020,53
C40-S3,-77.3716516,36.21523339,cc_250m_2020,53
C41-S1,-78.652772,35.226718,cc_250m_2020,38
C41-S2,-78.64752,35.228405,cc_250m_2020,23
C42-S1,-82.47900512,35.57641645,cc_250m_2020,39
C42-S2,-82.43980975,35.65426019,cc_250m_2020,72
C42-S3,-82.52737206,35.64621801,cc_250m_2020,48
C42-S4,-82.5791096,35.65892246,cc_250m_2020,33
C42-S5,-82.478882,35.58326,cc_250m_2020,40
C44-S1,-81.70111,36.31957,cc_250m_2020,67
C44-S2,-81.70620941,36.31979252,cc_250m_2020,51
C44-S3,-81.69410845,36.34554081,cc_250m_2020,58
C44-S4,-81.70074474,36.31763251,cc_250m_2020,68
C44-S5,-81.671411,36.348396,cc_250m_2020,74
C44-S6,-81.69091,36.34537,cc_250m_2020,72
C46-S1,-77.9103949,34.04230957,cc_250m_2020,41
C46-S2,-77.92478696,33.96287553,cc_250m_2020,20
C48-S1,-78.52314689,34.26001098,cc_250m_2020,61
C48-S2,-78.4667703,34.26726066,cc_250m_2020,58
C48-S3,-78.47930015,34.29847595,cc_250m_2020,51
C48-S4,-78.472504,34.291122,cc_250m_2020,55
C500-S1,-78.41544,34.50894,cc_250m_2020,46
C500-S2,-78.41021,34.51403,cc_250m_2020,35
C501-S1,-78.53292,34.72891,cc_250m_2020,53
C501-S2,-78.58098,34.73496,cc_250m_2020,54
C502-S1,-78.66722,34.80719,cc_250m_2020,49
C502-S2,-78.72867,34.86224,cc_250m_2020,35
C503-S1,-81.677941,35.798998,cc_250m_2020,60
C503-S2,-81.63615308,35.78764605,cc_250m_2020,52
C52-S1,-81.50318781,36.06698879,cc_250m_2020,72
C52-S2,-81.51604691,36.06446483,cc_250m_2020,69
C54-S1,-81.01187367,35.698665,cc_250m_2020,52
C54-S2,-81.005876,35.70529006,cc_250m_2020,NA
C54-S3,-80.98455085,35.65164872,cc_250m_2020,40
C58-S1,-77.90407847,36.2819282,cc_250m_2020,52
C58-S2,-77.89095,36.23632,cc_250m_2020,53
C58-S3,-77.88518,36.24746,cc_250m_2020,55
C5-S1,-81.64943165,36.00523286,cc_250m_2020,62
C5-S2,-81.62118875,36.01075083,cc_250m_2020,65
C5-S3,-81.61484172,36.0077797,cc_250m_2020,66
C5-S5,-81.621773,36.011064,cc_250m_2020,65
C62-S1,-79.88018464,34.86535957,cc_250m_2020,40
C62-S2,-79.86868417,34.86617295,cc_250m_2020,54
C65-S1,-79.97009715,35.31989375,cc_250m_2020,50
C65-S2,-79.96895327,35.31885901,cc_250m_2020,50
C65-S3,-79.99141811,35.36316591,cc_250m_2020,64
C65-S4,-79.9494423,35.32099103,cc_250m_2020,52
C65-S5,-80.038462,35.44548,cc_250m_2020,54
C65-S6,-80.05437,35.38194,cc_250m_2020,50
C66-S1,-80.27868035,36.08323015,cc_250m_2020,34
C6-S1,-83.3900356,35.46179133,cc_250m_2020,44
C6-S2,-83.39710037,35.44283733,cc_250m_2020,36
C6-S3,-83.39737999,35.44295635,cc_250m_2020,36
C6-S4,-83.39278042,35.40718348,cc_250m_2020,73
C74-S1,-82.27958162,36.08188385,cc_250m_2020,74
C74-S2,-82.27714341,36.10667945,cc_250m_2020,73
C74-S3,-82.22995087,36.14326143,cc_250m_2020,76
C75-S1,-79.03680677,36.08470428,cc_250m_2020,55
C75-S2,-79.06439027,36.08714056,cc_250m_2020,27
C75-S3,-79.061935,36.085027,cc_250m_2020,48
C75-S4,-79.03245,36.08577,cc_250m_2020,61
C78-S1,-79.94906947,36.4404268,cc_250m_2020,38
C78-S2,-79.93804785,36.43911478,cc_250m_2020,38
C78-S3,-80.002215,36.505402,cc_250m_2020,57
C78-S4,-79.998955,36.509415,cc_250m_2020,63
C79-S1,-81.26898738,35.23997407,cc_250m_2020,50
C79-S2,-81.29311251,35.21013374,cc_250m_2020,50
C7-S1,-77.00248903,36.45198385,cc_250m_2020,48
C7-S2,-77.0130307,36.44212003,cc_250m_2020,46
C7-S3,-76.95322615,36.43594232,cc_250m_2020,48
C7-S4,-76.99537262,36.45804824,cc_250m_2020,49
C81-S1,-79.001412,34.51621743,cc_250m_2020,52
C81-S2,-78.93433507,34.52869071,cc_250m_2020,46
C81-S3,-78.9444941,34.503387,cc_250m_2020,50
C81-S4,-78.93433507,34.52869071,cc_250m_2020,46
C83-S1,-82.21714826,35.4464542,cc_250m_2020,62
C83-S2,-82.21277115,35.44121836,cc_250m_2020,58
C84-S1,-83.57475691,35.17295438,cc_250m_2020,68
C84-S2,-83.53965,35.16345,cc_250m_2020,62
C84-S3,-83.597539,35.153387,cc_250m_2020,71
C95-S1,-82.92407538,35.42403932,cc_250m_2020,73
C95-S2,-82.97101387,35.34271801,cc_250m_2020,70
C95-S3,-82.89719,35.40317,cc_250m_2020,62
C210-S1,-78.810253,36.113742,cc_250m_2020,36
C210-S2,-78.800991,36.110514,cc_250m_2020,56
